dealer,country,old_listings_url,new_listings_url,n_cars,sample
Axel Schuette Fine Cars,DE,https://axelschuette.de/cars-for-sale/,https://axelschuette.de/cars-for-sale/,3,Porsche 964 Carrera RS 1991 ; Porsche 996 GT3 RS 2004
Chromecars,DE,https://www.chromecars.de/fahrzeuge/,https://www.chromecars.de/fahrzeuge/,3,"Chevrolet Camaro Yenko ""FF2"" 1969 ; Chevrolet A-Team Van 1979"
Jan B. Lühn,DE,https://janluehn.com/cars/2016-ferrari-f12tdf/,https://janluehn.com/,2,Hyundai i20 WRC offered 2015 ; Lotus CLM P1/01 offered 2014
Koch Klassik Automobil GmbH,DE,https://koch-klassik.de/fahrzeug-angebot/,https://koch-klassik.de/fahrzeug-angebot/,3,Jaguar E-Type SII 4.2 Roa 1969 ; Lancia DELTA INTEGRALE EV 1992
Autobedrijf Robert Wagner,NL,https://robertwagner.nl/showroom/,https://robertwagner.nl/showroom/,3,Opel Kadett 2.4 Race/Ra 1978 ; Mercedes-Benz 300 SEL 6.3 1971
Brooks Classics,NL,https://www.brooksclassics.nl/collection,https://www.brooksclassics.nl/collection/,3,Austin-Healey 3000 MK I Rally 1960 ; Jaguar XF 3.0 S V6 2017
Classics-World,NL,https://classics-world.com/collectie,https://classics-world.com/collectie/,2,Land Rover Rover-Range Rover- 2015 ; Alfa Romeo Romeo-Giulietta-Sp 1962
Dandy Classics,NL,https://www.dandyclassics.com/collection/,https://www.dandyclassics.com/collection/,3,Alfa Romeo Spider 2000 2000 ; Fiat 1500 cabriolet 1965
E&R Classics,NL,https://www.erclassics.com/classic-cars-for-sale/,https://www.erclassics.com/classic-cars-for-sale/,3,Porsche 356 Pre-A Speedste 1955 ; Alfa Romeo Giulia Quadrifogli 2019
Gallery Aaldering,NL,https://www.gallery-aaldering.com/collection/,https://www.gallery-aaldering.com/collection/,3,Abarth OT 2000 Coupé Peri 1965 ; AC ACE “Mille Miglia  1956
Garage Maestricht,NL,https://www.garagemaestricht.nl/for-sale/1993-saab-900s-convertible,https://www.garagemaestricht.nl/for-sale/,3,Audi Convertible 1.8 5V 1997 ; BMW Z3 2.2i 2002
La Salle Classic Cars,NL,https://lasalleclassiccars.com/collectie/,https://lasalleclassiccars.com/collectie/,3,Cadillac Serie 62 Convertib 1952 ; Cadillac Eldorado 1955
Passion 4 Classics,NL,https://passion4classics.eu/occasion-type/barnfinds/,https://passion4classics.eu/,2,Lancia Delta HF Integrale 1992 ; Citroën ID 19 1957
VSOC; Very Superior Old Cars,NL,https://vsoc.nl/collection,https://vsoc.nl/collection/,3,Fiat Ottovù 1954 ; Ferrari F12 Berlinetta 2016
Alan Carrington Classic Cars,UK,https://www.alancarrington.com/cars-for-sale,https://www.alancarrington.com/cars-for-sale/,3,"Monteverdi 375L — The First o 1970 ; Ferrari 308GTB, Rosso Cors 1979"
Andrew Hardy Classics,UK,https://www.hardyclassics.co.uk/classic-cars-for-sale-1,https://www.hardyclassics.co.uk/classic-cars-for-sale-1/,3,MG Midget 1974 ; Vauxhall ROYALE 2.8 AUTOMAT 1981
Charlestown Classics,UK,https://www.charlestownclassics.com/full-inventory/,https://www.charlestownclassics.com/full-inventory/,3,Ford F-1 – P2092 1937 ; Ford Thunderbird – C000 1957
Bicester Sports & Classics,UK,https://bicestersportscars.co.uk/showroom/,https://bicestersportscars.co.uk/showroom/,3,Jaguar XJ S HE 1987 ; Audi UR QUATTRO TURBO 1989
Black & White Cars of Bournemouth,UK,https://www.blackandwhitecarsbmth.com/showroom/used-car/lexus-sc-430-v8-2002-56000-miles-flsh,https://www.blackandwhitecarsbmth.com/,3,Audi 2.6 V6 CAB 2000 ; BMW 330 CiA CAB 2002 – 2002
Blue Butts Chequered Flag,UK,https://www.classiccarbluebutts.co.uk/used/cars/,https://www.classiccarbluebutts.co.uk/used/,3,Land Rover Range Rover 3500 V 1972 ; Alfa Romeo SZ 1991
Brian Classic & Co.,UK,http://brianclassiccars.com,http://brianclassiccars.com/,3,Lancia Aurelia B24 Spider 1955 ; Lamborghini Countach 5000 QV 1987
Duncan Hamilton Rofgo,UK,https://www.dhrofgo.com/shop,https://www.dhrofgo.com/shop/,3,Audi 2013 AUDI R8 LMS G 2013 ; Porsche 1975 Porsche 930 T 1975
Dylan Miles Ltd.,UK,https://dylan-miles.com/vehicles,https://dylan-miles.com/vehicles/,3,BMW 503 Cabriolet RHD  1957 ; Aston Martin DB5 1964
Justin Banks Ltd.,UK,https://www.justinbanks.com/current-stock/,https://www.justinbanks.com/current-stock/,3,Facel Vega II 1963 ; Maserati Indy 4200 1971
Legends Automotive Ltd,UK,http://www.legendsautomotive.co.uk/showroom,http://www.legendsautomotive.co.uk/showroom/,3,Porsche 911S 1969 ; Alpina BMW B7 Turbo Coupe 1978
O’Kane Lavers Ltd,UK,https://okanelavers.com/cars-for-sale,https://okanelavers.com/cars-for-sale/,3,AC Cobra MkIV 1989 ; AC Cobra MkIV Carbon  1999
Pendine Historic Cars Ltd.,UK,https://pendine.com/showroom/,https://pendine.com/showroom/,3,Jaguar E-Type Series 1 4. 1965 ; Aston Martin DBS Coupe – Manual 2010
Peter Bradfield Ltd,UK,https://www.bradfieldcars.com/cars,https://www.bradfieldcars.com/cars/,3,Jaguar XK 120 1950 ; Ferrari 512 BBi 1982
Spinningwheel Classic Cars,UK,https://www.spinningwheelclassiccars.com,https://www.spinningwheelclassiccars.com/,3,Lotus Elan S4 Comvertibl 1971 ; BSA Gold Star DB 32 19 1960
The Classic Connection,UK,https://www.classicconnection.co.uk/vehicles,https://www.classicconnection.co.uk/vehicles/,3,Bentley 3 Litre - Vanden P 1924 ; BMW 3.0 CSL Chassis no 1973
Veloce Classic and Sports Cars Ltd,UK,https://www.veloceclassic.com/inventory/1627-1965-porsche-911-901.html,https://www.veloceclassic.com/inventory/,3,"Alfa Romeo GT 1300 ""Scalino"" 1968 ; Jaguar E-Type Series II 4 1969"
Vintage & Prestige Classic Cars,UK,https://vandp.net,https://vandp.net/,3,Rolls-Royce Silver Ghost Rois  1913 ; Rolls-Royce Silver Ghost Open  1913
Westcountry Classics,UK,https://westcountryclassics.com/vehicles-for-sale,https://westcountryclassics.com/vehicles-for-sale/,3,Austin-Healey 3000 MK3 1966 ; Sunbeam Alpine Series 5 Sp 1967
Yorkshire Classic & Sports Cars,UK,https://ycsc.co.uk/showroom/,https://ycsc.co.uk/showroom/,3,Jaguar E-TYPE 3.8 SERIES  1961 ; Jaguar E-TYPE 3.8 SERIES  1961
Classic Car Design,FR,https://www.classiccardesign.fr/voiture-prestige-classic-à-vendre,https://www.classiccardesign.fr/voiture-prestige-classic-à-vendre/,3,BMW 320-6 E21 1979 ; Porsche 968 cabriolet 1992
Old Speed Classics,FR,https://oldspeed-classics.com/a-vendre,https://oldspeed-classics.com/a-vendre/,2,Lancia FULVIA 1.3S DE 197 1971 ; Porsche BOXSTER 987 DE 200 2006
Paris Motors Legend,FR,https://www.parismotorslegend.com/vehicules-collection-recents-haut-de-gamme-paris,https://www.parismotorslegend.com/vehicules-collection-recents-haut-de-gamme-paris/,3,AC Cobra 427 S/C Hi-T 2022 ; Jaguar Type E Coupé 3.8L  1962
Véhicules de Collection and Co,FR,https://voitures2collection.com/vehicules/,https://voitures2collection.com/vehicules/,3,Volkswagen COMBI T2AB WESTFAL 1971 ; Chevrolet C10 PICK UP SILVER 1985
Autovergiate,IT,https://autovergiate.it/vendita-auto/,https://autovergiate.it/vendita-auto/,3,Ferrari Purosangue 2025 ; Ferrari SF90 SPIDER 2021
Fine Cars,CH,https://finecars.ch,https://finecars.ch/,3,Alfa Romeo 2600 Spider 1966 ; Mercedes-Benz SLK 350 2005
Touring Garage AG,CH,https://www.oldtimers.ch/cars,https://www.oldtimers.ch/cars/,3,Alfa Romeo Spider 2.0 Cabriol 1994 ; Aston Martin DB7 Vantage Coupé  2002
OK-Classic GmbH,AT,https://ok-classic.at,https://ok-classic.at/,3,Studebaker Commander 1932 ; Chrysler Eight CP8 Converti 1932
Oldie Point GmbH,AT,https://www.oldie-point.at/unser-angebot/detailansicht/vehicle/bmw-z1-aus-erstbesitz/,https://www.oldie-point.at/unser-angebot/,3,"Jaguar Mk II 2.4 aus äuße 1968 ; Mercedes-Benz 219 ""Ponton"" zweif 1961"
DriveCity,BE,https://drivecity.be/for-sale,https://drivecity.be/for-sale/,3,Ferrari 456GT 1996 ; Alfa Romeo Bertone 2000 2000
House of Cars,BE,https://www.houseofcars.be/nos-vehicules/,https://www.houseofcars.be/nos-vehicules/,3,Porsche 987.1 Boxster S De 2008 ; Porsche 997.1 Targa 4S Man 2008
