dealer,country,url,slug,found,pages,cars,verdict
Vintage & Prestige Classic Cars,UK,https://vandp.net,vandp,357,3,0,zero_cars
Galantica Collection,CH,https://www.galantica-collection.ch/fr/tableaux/peintres-suisses/,galantica-collection,275,0,0,art_excl
Veloce Classic and Sports Cars Ltd,UK,https://www.veloceclassic.com/inventory/1627-1965-porsche-911-901.html,veloceclassic,239,4,0,zero_cars
Garage Maestricht,NL,https://www.garagemaestricht.nl/for-sale/1993-saab-900s-convertible,garagemaestricht,191,4,0,zero_cars
Marmini Cars,NL,https://www.marminicars.nl/aanbod/id12126/alfa-romeo-giulia-1300ti-.html,marminicars,168,4,0,zero_cars
Nache Automobiles,FR,https://nache-automobiles.com/voiture/aston-martin-v8-vantage-roadster.html,nache-automobiles,142,4,0,zero_cars
Amari Super Cars,UK,https://www.amarisupercars.com/stock/details/2023-porsche-911-gt3-rs-gt3-rs-pdk-semi-auto/1241754,amarisupercars,126,4,0,zero_cars
Chromecars,DE,https://www.chromecars.de/fahrzeuge/,chromecars,107,4,1,works
Andrew Hardy Classics,UK,https://www.hardyclassics.co.uk/classic-cars-for-sale-1,hardyclassics,98,4,2,works
Classics-World,NL,https://classics-world.com/collectie,classics-world,89,4,0,zero_cars
Bicester Sports & Classics,UK,https://bicestersportscars.co.uk/showroom/,bicestersportscars,80,4,3,works
Peter Bradfield Ltd,UK,https://www.bradfieldcars.com/cars,bradfieldcars,78,4,2,works
E&R Classics,NL,https://www.erclassics.com/classic-cars-for-sale/,erclassics,74,4,3,works
Yorkshire Classic & Sports Cars,UK,https://ycsc.co.uk/showroom/,ycsc,72,4,1,works
Classicmaster,NL,https://classicmaster.nl/occasions-kopen/54381487-mercedes-benz-s-klasse-400-hybrid-amg-styling-exclusive,classicmaster,70,4,0,zero_cars
Gallery Aaldering,NL,https://www.gallery-aaldering.com/collection/,gallery-aaldering,68,4,0,zero_cars
Classic Cruising,FR,https://www.classic-cruising-automobile.com/nos-vehicules/c-3.html,classic-cruising-automobile,61,4,0,zero_cars
Black & White Cars of Bournemouth,UK,https://www.blackandwhitecarsbmth.com/showroom/used-car/lexus-sc-430-v8-2002-56000-miles-flsh,blackandwhitecarsbmth,58,4,0,zero_cars
Epping Motor Co,UK,http://www.eppingmotorcompany.com/stock/page1/stocklist-1.htm,eppingmotorcompany,55,1,0,discovered_0
Auto Leitner,NL,https://www.autoleitner.nl/car-for-sale/1779617544-2023-rolls-royce-ghost,autoleitner,50,4,0,zero_cars
The Classic Connection,UK,https://www.classicconnection.co.uk/vehicles,classicconnection,50,4,3,works
Touring Garage AG,CH,https://www.oldtimers.ch/cars,oldtimers,49,4,0,zero_cars
Guikas GTC,FR,https://www.gtc-collection-cars.com/classic-car/news--events_120.html,gtc-collection-cars,47,4,0,zero_cars
