dealer,country,slug,listings_url_final,original_url,cars,via_parent,found
Vintage & Prestige Classic Cars,UK,vandp,https://vandp.net,https://vandp.net,2,False,357
Guikas GTC,FR,gtc-collection-cars,https://www.gtc-collection-cars.com/classic-car/news--events_120.html,https://www.gtc-collection-cars.com/classic-car/news--events_120.html,1,False,47
House of Cars,BE,houseofcars,https://www.houseofcars.be/nos-vehicules/,https://www.houseofcars.be/nos-vehicules/,2,False,42
Bourgogne Auto Classic,FR,bourgogne-auto-classic,https://bourgogne-auto-classic.fr/24-nos-vehicules,https://bourgogne-auto-classic.fr/24-nos-vehicules,1,False,34
Axel Schuette Fine Cars,DE,axelschuette,https://axelschuette.de/cars-for-sale/,https://axelschuette.de/cars-for-sale/,2,False,26
Lamorlaye Automobiles,FR,lamorlayeautomobiles,https://www.lamorlayeautomobiles.fr,https://www.lamorlayeautomobiles.fr,2,False,19
Gentleman Car spl,BE,gentlemancar,https://gentlemancar.be/showroom-la-legende-shelby/,https://gentlemancar.be/showroom-la-legende-shelby/,1,False,14
Heijstee Classics,NL,heijsteeclassics,https://heijsteeclassics.nl/homepage/for-sale/,https://heijsteeclassics.nl/homepage/for-sale/,2,False,11
Classic & Sportscar Hofman Leek,NL,hofman,https://www.hofman.nl,https://www.hofman.nl,1,False,9
Westcountry Classics,UK,westcountryclassics,https://westcountryclassics.com/vehicles-for-sale,https://westcountryclassics.com/vehicles-for-sale,2,False,9
Retrosport SL,ES,retrosport,http://www.retrosport.es,http://www.retrosport.es,1,False,7
Old Speed Classics,FR,oldspeed-classics,https://oldspeed-classics.com/a-vendre,https://oldspeed-classics.com/a-vendre,2,False,6
Auto Classica of Sweden AB,SE,autoclassica,https://www.autoclassica.com,https://www.autoclassica.com,2,False,6
Speed 8 Classics Sales & Service,BE,speed8classics,https://www.speed8classics.com/cars,https://www.speed8classics.com,3,False,5
