country,dealer,city,category,website,email,address,profile_url
france,Absolut Cars Consulting,Beure,prestige-and-supercars,https://www.absolutcarsconsulting.com,contact@absolutcarsconsulting.com,"4 Chemin de la Vierge, 25720 Beure, France",https://superclassics.eu/directory/general/absolut-cars-consulting/
france,AC Youngtimer,Saint-Jean-d'Illac,classic-car-dealers,https://www.ac-youngtimer.fr,contact@ac-youngtimer.fr,"292 Avenue de Boulac, 33127 Saint-Jean-d'Illac, France",https://superclassics.eu/directory/general/ac-youngtimer/
france,Artmotors,Saint-Amand-Montrond,classic-car-dealers,https://www.artmotors.fr,artmotors18@gmail.com,"63 Rue de la Brasserie, 18200 Saint-Amand-Montrond, France",https://superclassics.eu/directory/general/artmotors/
france,Ascott Collection,Gazeran,race-and-rally-cars,https://www.ascottcollection.com,cars@ascottcollection.com,"Rue du Bel air, 78125 Gazeran, France",https://superclassics.eu/directory/general/ascott-collection/
france,Asphalt Classics,Orgon,classic-car-dealers,https://www.asphaltclassics.com,office@asphaltclassics.com,"D24b Route d'Eygalières, 13660 Orgon, France",https://superclassics.eu/directory/general/asphalt-classics/
france,Atelier 46,Courbevoie,classic-car-dealers,https://www.atelier46.fr,contact@atelier46.fr,"9 Rue Paul Napoléon Roinard, 92400 Courbevoie, France",https://superclassics.eu/directory/general/atelier-46/
france,Autodrome Cannes,Cannes,prestige-and-supercars,http://www.autodrome-cannes.com,autodromecannes@orange.fr,"28 Boulevard de Lorraine, 06400 Cannes, France",https://superclassics.eu/directory/general/autodrome-cannes/
france,Bourgogne Auto Classic,Le Villars,classic-car-dealers,http://bourgogne-auto-classic.fr,contact@bourgogne-auto-classic.fr,"15 Rue de la Croix, 71700 Le Villars, France",https://superclassics.eu/directory/general/bourgogne-auto-classic/
france,Boyards,Cannes,classic-car-dealers,http://www.boyards.com,info@boyards.com,"64 T Rue d'Antibes, 06400 Cannes, France",https://superclassics.eu/directory/general/boyards/
france,Bretagne Roadster,Cherbourg-en-Cotentin,classic-car-dealers,http://www.bretagneroadster.com,info@superclassics.eu,"54 Rue Braun, 50110 Cherbourg-en-Cotentin, France",https://superclassics.eu/directory/general/bretagne-roadster/
france,Bullit Racing & Classic,,classic-car-dealers,https://www.bullit-racing.com,bullitracer@gmail.com,"43 Avenue Albert Gleizes, Saint-Rémy-de-Provence, France",https://superclassics.eu/directory/general/bullit-racing-classic/
france,Calvados Auto Retro,Lisieux,classic-car-dealers,https://calvados-autoretro.fr,patrick.rencurosi@yahoo.fr,"96 Route de Cormeilles, 14100 Lisieux, France",https://superclassics.eu/directory/general/calvados-auto-retro/
france,CarJager,,classic-car-dealers,https://www.carjager.com,hello@carjager.com,"2 A Place Jeanne d'Arc, Aix-en-Provence, France",https://superclassics.eu/directory/general/carjager/
france,Casting Automobiles,Paris,classic-car-dealers,http://castingautomobilesclassic.com,casting@castingautomobiles.com,"58 Boulevard Murat, 75016 Paris, France",https://superclassics.eu/directory/general/casting-automobiles/
france,Cecil Cars,Ollainville,classic-car-dealers,http://www.cecil-cars.com,p.collin@cecil-cars.com,"31 Rue de Bizon, 91340 Ollainville, France",https://superclassics.eu/directory/general/cecil-cars/
